Empfänger,COUNTA von Empfänger
"Labouïsse-Rochefort, Jean-Pierre-Jacques-Auguste de",1
"Ladoucette, Eugène de",1
"Ladoucette, Jean Charles François, baron de",174
"Lainé, Monsieur",3
"Lamardelle, Pierre Suzanne Marie, baron de",2
"Langlès, Louis-Mathieu",3
"Lantier, Étienne-François de",12
"Laplace, Madame de",1
"Larcher de Chamont, François, chevalier",1
"Larnac, Monsieur",1
"Laya, Aglaé, in zweiter Ehe Comte",15
"Laya, Alexandre",1
"Laya, Jean-Louis",6
Lebrun,1
"Legouvé, Gabriel-Marie",1
"Lemazurier, Pierre-David",1
"Lémontey, Pierre-Édouard",1
"Lenders, Fräulein (von?)",1
"Leroy de Bacre, Alexandre Joseph",1
"Leroy de Bacre, Félicie, geb. Dalpayet",11
"Leyen, Gustav Heinrich von der (Sohn von Friedrich Heinrich)",1
"Locquenghien, Judith Anna Maria von, geb. von Dorth",7
"Louis-Philippe Ier, König der Franzosen",1
"Löwenhielm, Jacquette Gräfin",1
"Maison, Eugène, vicomte (Sohn des Nicolas Joseph)",2
"Maison, général, später maréchal Nicolas Joseph",12
"Maison, Joseph, vicomte (Sohn des Nicolas Joseph)",1
"Maison, Joséphine (Tochter des Nicolas Joseph, +1828/1829)",1
"Maison, Madeleine, geb. Weydold (Ehefrau des Nicolas Joseph)",4
"Malepeyre, Léopold",1
"Maleszewski, comtesse de",7
"Malo, Charles",11
"Maltitz, [Gotthilf August?] Freiherr von",1
"Marrast, Armand",1
"Marron, Paul-Henri",5
"Mathon de Fogères, Henri-Napoléon",4
"Maugirard, Victorine",1
"Mazois, Jenny-Malvina, geb. Pineux-Duval (Tochter des Alexandre Duval)",1
"Méchin, Edmond",1
"Mecklenburg-Strelitz, Karl Herzog von (Bruder der Therese von Thurn und Taxis)",1
"Méneval, Claude François de",1
"Méricourt, Françoise de",2
"Miger, Simon Charles",1
"Miollis, Sextius Alexandre François de",1
"Mirault, Monsieur (Claude-François?, Mitglied des Athénée des arts)",29
"Monglave, Eugène de",1
"Montémont, Albert",30
"Montferrand, Monsieur de",6
"Montigny, Caroline de",9
"Moreau, César",1
"Morgan, Lady Sydney, geb. Sydney Owenson",2
"Murrey, Monsieur Gaillard de",1
"Naigeon, Céleste",8
"Naigeon, Jacques-André",1
"Naigeon, Mademoiselle",1
"Naigeon, Monsieur",1
"Nanteuil, C. de",1
"Napoléon Ier Bonaparte, Kaiser der Franzosen",1
"Nees von Esenbeck, Theodor Friedrich Ludwig",1
"Niboyet, Eugénie, geb. Mouchon",1
"Nicolle, Dominique-Charles, abbé",1
"Novakowsky, Camille de, geb. Chomereau",7
"O'Sullivan, Daniel",1
"Orloff, Grégoire, comte de",2
"Paganel, Camille",10
"Paganel, Madame G., geb. von Senfft-Pilsach",3
"Paillet, Alphonse Gabriel Victor (Rechtsanwalt)",6
"Paillet, Julien, gen. Paillet de Plombières (Schriftsteller)",3
"Pailliet, Jean Baptiste Joseph (Anwalt der CdS in Orléans, um 1829)",71
"Papion du Château, Pierre Nicolas, baron",1
"Paxton, Maria Alecia",1
"Pestel, Philipp von",1
"Petriconi, Jean Laurent de",1
"Picard, Louis-Benoît",2
"Pillet, Fabien",3
"Pinaud, Joseph",1
"Pinet, Fortuné",1
"Plancy, Amélie de, geb. de Ladoucette",1
"Ponce, Nicolas",11
"Pougens, Charles de",9
"Preußen, Marie Anne Amalie, Prinzessin von, geb. Hessen-Homburg",1
"Preußen, Prinz Friedrich von (Neffe Friedrich Wilhelms III.)",1
"Prony, Gaspard Riche, baron de",2
"Pröpper, Ferdinand von",1
"Pröpper, Herr von",1
"Pröpper, Paul Joseph von",1
"Prous, Henry",16
"Pugnet, Monsieur",1
"Quetelet, Adolphe",1
"Raboteau, Emélie, verh. Ranson",1
"Raboteau, Paul Étienne",4
"Raboteau, Pierre Paul ",12
"Ramey, Etienne-Jules",1
"Reiffenberg, Frédéric, baron de (Löwen/Louvain)",1
"Reinwardt, Kaspar Georg Karl",1
"Révéroni, Jacques-Antoine, baron de Saint-Cyr",1
"Richard, Carl (Major in Aachen)",2
"Riche de Prony, Gaspard, baron",1
"Richelieu, Armand Emmanuel du Plessis, duc de",1
"Rittinghausen, Moritz",1
"Ritz, Wilhelm",13
"Roederer, Pierre-Louis",1
"Roger, Jacques-François, baron",1
"Roguet, Pauline, geb. de Ladoucette",1
Roguet. comte Christophe Michel (Schwiegersohn von Jean Charles François de Ladoucette),1
"Roosmalen, Auguste de",2
"Roux de Rochelle, Jean-Baptiste-Gaspard",2
"Saint-Cricq, Auguste de (Ehemann von CdS' Nichte Joséphine)",1
"Saint-Mars, général vicomte de (Bruder der Schwägerin der CdS)",7
"Saint-Mars, vicomte de [= général de Saint-Mars?]",6
"Salis, Sophie de, verh. baronne de Triqueti ",13
"Salm-Reifferscheidt-Alfter, Alfred Joseph Klemens Fürst und Altgraf zu",1
"Salm-Reifferscheidt-Dyck, Franz Joseph August Fürst und Altgraf zu (Bruder SRDs)",1
"Salm-Reifferscheidt-Dyck, Joseph Fürst und Altgraf zu (SRD)",44
"Salm, Constance de",1
"Salomon, Adam",1
"Sandt, G. [de?]",5
"Sandt, Joséphine de, geb. Andriel",1
"Sandt, Madame de",1
"Sanson de Pongerville, Jean-Baptiste",84
"Sanson de Pongerville, Jean-Baptiste; Sanson de Pongerville, Madame",1
"Sauvo, François",15
"Say, Jean-Baptiste",3
"Schepeler, Andreas Daniel Berthold von",17
"Sédillot, Jean-Jacques Emmanuel",1
"Servan de Sugny, Pierre-Marie-François",1
"Simon(s), Monsieur",1
"Sobry, Adèle",1
"Sobry, Adrienne",7
"Sobry, Jean-François",1
"Soult, Maréchal Nicolas Jean-de-Dieu",1
"Stassart, Goswin Joseph Augustin, baron de",8
"Suard, Jean Baptiste Antoine",1
"Surlet de Chokier, Érasme-Louis, baron",1
"Süss, J. (Pfarrer)",1
"Théis, Adolphe de",1
"Théis, Alexandre Étienne Guillaume, baron de (Bruder der CdS)",104
"Théis, Anne Marguerite de, geb. de Saint-Mars (Frau des Bruders der CdS)",1
"Théis, Charles Constant de",6
"Théis, Joséphine de, verh. Saint-Cricq, gen. Finette",4
"Thiessé, Léon",1
"Thurn und Taxis, Therese (Mathilde Amalia), geb. Herzogin zu Mecklenburg(-Strelitz), Fürstin von",11
"Thurot, Jean-François",13
"Thurot, Madame",4
"Tissot, Pierre-François",9
"Trosdorff, Herr",1
"Ursin, Pierre-François-Marie",3
"Valant, Joseph-Honoré",4
"Valleran(d), Hubert",2
"Vanhove, Charlotte, gen. Caroline, verh. Talma, dann verh. comtesse de Châlot",16
"Vaulgrenand, comte de",1
"Vaulgrenand, comtesse de",5
"Vernéjoul, Monsieur de",1
"Vial, Monsieur",1
"Vien, Rose Céleste, geb. Bache",11
"Viennet, Jean-Pons-Guillaume",11
"Villenave, Mathieu-Guillaume-Thérèse",99
"Villenave, Théodore",8
"Waldor, Mélanie, geb. Villenave",32
"Wergifosse / Vergifosse, Monsieur (de?)",1
"Wied-Neuwied, Maximilian Alexander Philipp, Prinz zu",1
"Wilken, Friedrich",1
"Zur Hosen, Herr",1
